Unique_ID,Txn_No,Type,From,To,Amount,Txn,Punk
0,0,Claimed,,0xc352b5,,"Jun 23, 2017",0
1,1,Bid ,0x948a10,,219,"Jun 23, 2017",0
2,2,Bid ,0x00d7c9,,320,"Jun 23, 2017",0
3,3,Sold ,0xc352b5,0x00d7c9,320,"Jun 23, 2017",0
4,4,Bid ,0x717403,,14,"Jun 25, 2017",0
5,5,Bid ,0xa0a59c,,369,"Jul 02, 2017",0
6,6,Bid ,0x7760e0,,369,"Jul 02, 2017",0
7,7,Bid ,0xa0a59c,,422,"Jul 03, 2017",0
8,8,Bid ,0x7760e0,,422,"Jul 03, 2017",0
9,9,Bid ,0xa0a59c,,386,"Jul 07, 2017",0
10,10,Sold ,0x00d7c9,0xa0a59c,386,"Jul 07, 2017",0
11,11,Transfer,0xa0a59c,0xf5099e,,"Jul 07, 2017",0
12,12,Offered,,,"96,376","Jul 07, 2017",0
13,13,Bid ,0x00d7c9,,"3,132","Jul 07, 2017",0
14,14,Bid ,0x7760e0,,"3,132","Jul 07, 2017",0
15,15,Offered,,,"138,566","Dec 16, 2017",0
16,16,Offered,,,"18,303","Sep 12, 2018",0
17,17,Bid ,0xe08c32,,"2,822","Nov 30, 2018",0
18,18,Sold ,0xf5099e,0xe08c32,"2,822","Nov 30, 2018",0
19,19,Bid ,PsyRen,,"6,597","Apr 02, 2019",0
20,20,Bid Withdrawn,PsyRen,,"6,597","Apr 02, 2019",0
21,21,Bid ,GoWest23,,"4,504","May 22, 2019",0
22,22,Bid Withdrawn,GoWest23,,"4,544","May 23, 2019",0
23,23,Bid ,natealex,,1,"Dec 30, 2019",0
24,24,Bid Withdrawn,natealex,,1,"Dec 30, 2019",0
25,25,Bid ,natealex,,"5,905","Dec 30, 2019",0
26,26,Bid Withdrawn,natealex,,"6,329","Jan 08, 2020",0
27,27,Bid ,natealex,,"6,786","Jan 09, 2020",0
28,28,Bid Withdrawn,natealex,,"7,031","Jan 11, 2020",0
29,29,Bid ,natealex,,"25,104","Sep 15, 2020",0
30,30,Bid Withdrawn,natealex,,"25,532","Sep 16, 2020",0
31,31,Bid ,0xd7510a,,"188,897","Feb 20, 2021",0
32,32,Bid Withdrawn,0xd7510a,,"160,973","Mar 03, 2021",0
33,33,Bid ,0x983ace,,"537,615","Apr 11, 2021",0
34,34,Bid Withdrawn,0x983ace,,1.03M,"May 10, 2021",0
35,35,Bid ,wangdong…,,"849,714","Aug 29, 2021",0
36,36,Bid Withdrawn,wangdong…,,"904,481","Sep 01, 2021",0
37,37,Bid ,wangdong…,,1.1M,"Sep 01, 2021",0
38,38,Bid Withdrawn,wangdong…,,1.11M,"Sep 01, 2021",0
39,39,Bid ,0xe73a1d,,1.14M,"Sep 01, 2021",0
40,40,Bid Withdrawn,0xe73a1d,,1.26M,"Sep 04, 2021",0
41,0,Claimed,,0xc352b5,,"Jun 23, 2017",1
42,1,Bid ,sov,,61,"Jun 24, 2017",1
43,2,Bid Withdrawn,sov,,61,"Jun 24, 2017",1
44,3,Bid ,0xa0a59c,,1,"Jun 25, 2017",1
45,4,Bid ,sov,,98,"Jun 25, 2017",1
46,5,Bid ,0x717403,,98,"Jun 25, 2017",1
47,6,Bid ,0xa0a59c,,107,"Jun 26, 2017",1
48,7,Sold ,0xc352b5,0xa0a59c,107,"Jun 26, 2017",1
49,8,Offered,,,"85,842","Jun 27, 2017",1
50,9,Bid ,0x7760e0,,16,"Jun 28, 2017",1
51,10,Transfer,0xa0a59c,0xf5099e,,"Jul 07, 2017",1
52,11,Offered,,,"72,282","Jul 07, 2017",1
53,12,Offered,,,"46,281","Dec 03, 2017",1
54,13,Bid ,0x55c016,,24,"Dec 05, 2017",1
55,14,Bid Withdrawn,0x55c016,,50,"Feb 03, 2018",1
56,15,Offered,,,"13,727","Sep 12, 2018",1
57,16,Offered,,,"5,644","Nov 30, 2018",1
58,17,Offered,,,"5,920","Dec 23, 2018",1
59,18,Bid ,jmg,,704,"Dec 24, 2018",1
60,19,Offered,,,"4,210","Dec 25, 2018",1
61,20,Bid Withdrawn,jmg,,747,"Jan 03, 2019",1
62,21,Offered,,,"3,824","Feb 08, 2019",1
63,22,Offered,,,"4,153","Mar 25, 2019",1
64,23,Bid ,GoWest23,,"3,575","Apr 06, 2019",1
65,24,Bid Withdrawn,GoWest23,,"3,575","Apr 06, 2019",1
66,25,Sold ,0xf5099e,GoWest23,"5,155","Apr 06, 2019",1
67,26,Transfer,GoWest23,EliteCat…,,"Apr 06, 2019",1
68,27,Transfer,EliteCat…,EliteNFT,,"Apr 13, 2019",1
69,28,Offered,,,"155,461","May 06, 2019",1
70,29,Transfer,EliteNFT,EliteCat…,,"Jun 09, 2019",1
71,30,Offered,,,"87,406","Dec 10, 2019",1
72,31,Offer Withdrawn,,,,"Jan 17, 2020",1
73,32,Offered,,,"149,453","Feb 06, 2020",1
74,33,Offer Withdrawn,,,,"Feb 18, 2020",1
75,34,Offered,,,"25,310","Feb 18, 2020",1
76,35,Offer Withdrawn,,,,"Feb 22, 2020",1
77,36,Offered,,,"91,274","Feb 22, 2020",1
78,37,Offer Withdrawn,,,,"May 08, 2020",1
79,38,Offered,,,"40,461","May 08, 2020",1
80,39,Bid ,DANNY,,"8,088","May 14, 2020",1
81,40,Offered,,,"60,811","May 14, 2020",1
82,41,Bid Withdrawn,DANNY,,"8,107","May 14, 2020",1
83,42,Offer Withdrawn,,,,"May 27, 2020",1
84,43,Offered,,,"54,973","Sep 10, 2020",1
85,44,Offer Withdrawn,,,,"Sep 14, 2020",1
86,45,Offered,,,"90,921","Sep 15, 2020",1
87,46,Offered,,,"65,980","Nov 22, 2020",1
88,47,Bid ,natealex,,"29,918","Nov 23, 2020",1
89,48,Bid Withdrawn,natealex,,"30,187","Nov 23, 2020",1
90,49,Offered,,,"46,842","Nov 25, 2020",1
91,50,Bid ,0xcf6165,,"36,305","Nov 30, 2020",1
92,51,Sold ,EliteCat…,0xcf6165,"36,305","Nov 30, 2020",1
93,52,Transfer,0xcf6165,0xb88f61,,"Nov 30, 2020",1
94,53,Bid ,0xe1e492,,"32,276","Aug 12, 2021",1
95,54,Bid Withdrawn,0xe1e492,,"32,197","Aug 13, 2021",1
96,55,Bid ,0x6b3e41,,"209,871","Aug 28, 2021",1
97,56,Bid ,0x118c16,,"485,927","Aug 28, 2021",1
98,57,Bid ,wangdong…,,"591,246","Aug 29, 2021",1
99,58,Bid Withdrawn,wangdong…,,"587,840","Aug 31, 2021",1
100,59,Bid ,wangdong…,,"636,024","Aug 31, 2021",1
101,60,Bid Withdrawn,wangdong…,,"686,169","Sep 01, 2021",1
102,61,Bid ,0xe73a1d,,"742,652","Sep 02, 2021",1
103,62,Bid Withdrawn,0xe73a1d,,"777,132","Sep 04, 2021",1
104,0,Claimed,,0xc352b5,,"Jun 23, 2017",2
105,1,Bid ,0xa0a59c,,117,"Jun 25, 2017",2
106,2,Bid Withdrawn,0xa0a59c,,117,"Jun 25, 2017",2
